1.000	0.000	0.000	0.000	0.000	0.000	13.90
0.000	1.000	0.000	0.000	0.000	0.000	14.30
0.000	0.000	1.000	0.000	0.000	0.000	17.30
0.000	0.000	0.000	1.000	0.000	0.000	9.60
0.000	0.000	0.000	0.000	1.000	0.000	9.60
0.000	0.000	0.000	0.000	0.000	1.000	7.00
0.500	0.500	0.000	0.000	0.000	0.000	19.50
0.500	0.000	0.500	0.000	0.000	0.000	16.40
0.000	0.500	0.500	0.000	0.000	0.000	18.50
0.500	0.000	0.000	0.500	0.000	0.000	15.00
0.000	0.500	0.000	0.500	0.000	0.000	15.90
0.000	0.000	0.500	0.500	0.000	0.000	17.00
0.500	0.000	0.000	0.000	0.500	0.000	14.00
0.000	0.500	0.000	0.000	0.500	0.000	12.30
0.000	0.000	0.500	0.000	0.500	0.000	14.50
0.000	0.000	0.000	0.500	0.500	0.000	9.00
0.500	0.000	0.000	0.000	0.000	0.500	11.80
0.000	0.500	0.000	0.000	0.000	0.500	15.40
0.000	0.000	0.500	0.000	0.000	0.500	13.80
0.000	0.000	0.000	0.500	0.000	0.500	10.10
0.000	0.000	0.000	0.000	0.500	0.500	9.30
0.333	0.333	0.333	0.000	0.000	0.000	19.20
0.333	0.333	0.000	0.333	0.000	0.000	18.30
0.333	0.000	0.333	0.333	0.000	0.000	16.40
0.000	0.333	0.333	0.333	0.000	0.000	18.40
0.333	0.333	0.000	0.000	0.333	0.000	14.70
0.333	0.000	0.333	0.000	0.333	0.000	16.80
0.000	0.333	0.333	0.000	0.333	0.000	14.60
0.333	0.000	0.000	0.333	0.333	0.000	12.70
0.000	0.333	0.000	0.333	0.333	0.000	12.40
0.000	0.000	0.333	0.333	0.333	0.000	13.80
0.333	0.333	0.000	0.000	0.000	0.333	17.00
0.333	0.000	0.333	0.000	0.000	0.333	13.50
0.000	0.333	0.333	0.000	0.000	0.333	18.50
0.333	0.000	0.000	0.333	0.000	0.333	12.70
0.000	0.333	0.000	0.333	0.000	0.333	15.60
0.000	0.000	0.333	0.333	0.000	0.333	15.70
0.333	0.000	0.000	0.000	0.333	0.333	13.80
0.000	0.333	0.000	0.000	0.333	0.333	13.80
0.000	0.000	0.333	0.000	0.333	0.333	14.10
0.000	0.000	0.000	0.333	0.333	0.333	9.00
0.250	0.250	0.250	0.250	0.000	0.000	19.10
0.250	0.250	0.250	0.000	0.250	0.000	17.00
0.250	0.250	0.000	0.250	0.250	0.000	15.00
0.250	0.000	0.250	0.250	0.250	0.000	15.30
0.000	0.250	0.250	0.250	0.250	0.000	15.20
0.250	0.250	0.250	0.000	0.000	0.250	17.70
0.250	0.250	0.000	0.250	0.000	0.250	17.00
0.250	0.000	0.250	0.250	0.000	0.250	15.40
0.000	0.250	0.250	0.250	0.000	0.250	17.90
0.250	0.250	0.000	0.000	0.250	0.250	16.30
0.250	0.000	0.250	0.000	0.250	0.250	15.30
0.000	0.250	0.250	0.000	0.250	0.250	16.40
0.250	0.000	0.000	0.250	0.250	0.250	12.90
0.000	0.250	0.000	0.250	0.250	0.250	14.00
0.000	0.000	0.250	0.250	0.250	0.250	13.80
0.200	0.200	0.200	0.200	0.200	0.000	17.20
0.200	0.200	0.200	0.200	0.000	0.200	18.10
0.200	0.200	0.200	0.000	0.200	0.200	17.10
0.200	0.200	0.000	0.200	0.200	0.200	15.30
0.200	0.000	0.200	0.200	0.200	0.200	15.60
0.000	0.200	0.200	0.200	0.200	0.200	16.10
0.167	0.167	0.167	0.167	0.167	0.167	17.30
