1.000	0.000	0.000	0.000	0.000	0.000
0.000	1.000	0.000	0.000	0.000	0.000
0.000	0.000	1.000	0.000	0.000	0.000
0.000	0.000	0.000	1.000	0.000	0.000
0.000	0.000	0.000	0.000	1.000	0.000
0.000	0.000	0.000	0.000	0.000	1.000
0.500	0.500	0.000	0.000	0.000	0.000
0.500	0.000	0.500	0.000	0.000	0.000
0.000	0.500	0.500	0.000	0.000	0.000
0.500	0.000	0.000	0.500	0.000	0.000
0.000	0.500	0.000	0.500	0.000	0.000
0.000	0.000	0.500	0.500	0.000	0.000
0.500	0.000	0.000	0.000	0.500	0.000
0.000	0.500	0.000	0.000	0.500	0.000
0.000	0.000	0.500	0.000	0.500	0.000
0.000	0.000	0.000	0.500	0.500	0.000
0.500	0.000	0.000	0.000	0.000	0.500
0.000	0.500	0.000	0.000	0.000	0.500
0.000	0.000	0.500	0.000	0.000	0.500
0.000	0.000	0.000	0.500	0.000	0.500
0.000	0.000	0.000	0.000	0.500	0.500
0.333	0.333	0.333	0.000	0.000	0.000
0.333	0.333	0.000	0.333	0.000	0.000
0.333	0.000	0.333	0.333	0.000	0.000
0.000	0.333	0.333	0.333	0.000	0.000
0.333	0.333	0.000	0.000	0.333	0.000
0.333	0.000	0.333	0.000	0.333	0.000
0.000	0.333	0.333	0.000	0.333	0.000
0.333	0.000	0.000	0.333	0.333	0.000
0.000	0.333	0.000	0.333	0.333	0.000
0.000	0.000	0.333	0.333	0.333	0.000
0.333	0.333	0.000	0.000	0.000	0.333
0.333	0.000	0.333	0.000	0.000	0.333
0.000	0.333	0.333	0.000	0.000	0.333
0.333	0.000	0.000	0.333	0.000	0.333
0.000	0.333	0.000	0.333	0.000	0.333
0.000	0.000	0.333	0.333	0.000	0.333
0.333	0.000	0.000	0.000	0.333	0.333
0.000	0.333	0.000	0.000	0.333	0.333
0.000	0.000	0.333	0.000	0.333	0.333
0.000	0.000	0.000	0.333	0.333	0.333
0.250	0.250	0.250	0.250	0.000	0.000
0.250	0.250	0.250	0.000	0.250	0.000
0.250	0.250	0.000	0.250	0.250	0.000
0.250	0.000	0.250	0.250	0.250	0.000
0.000	0.250	0.250	0.250	0.250	0.000
0.250	0.250	0.250	0.000	0.000	0.250
0.250	0.250	0.000	0.250	0.000	0.250
0.250	0.000	0.250	0.250	0.000	0.250
0.000	0.250	0.250	0.250	0.000	0.250
0.250	0.250	0.000	0.000	0.250	0.250
0.250	0.000	0.250	0.000	0.250	0.250
0.000	0.250	0.250	0.000	0.250	0.250
0.250	0.000	0.000	0.250	0.250	0.250
0.000	0.250	0.000	0.250	0.250	0.250
0.000	0.000	0.250	0.250	0.250	0.250
0.200	0.200	0.200	0.200	0.200	0.000
0.200	0.200	0.200	0.200	0.000	0.200
0.200	0.200	0.200	0.000	0.200	0.200
0.200	0.200	0.000	0.200	0.200	0.200
0.200	0.000	0.200	0.200	0.200	0.200
0.000	0.200	0.200	0.200	0.200	0.200
0.167	0.167	0.167	0.167	0.167	0.167
